Account Name,Company Name in QB,Vertical,QBO or QBDT,Active or Cancelled,Users,Lead Score,Employees,Customers,Annual Sales,PS Amount to Date,SAAS Amount to Date,Website,New / Edit Inventory Part,Items List,New / Edit Sales Order,Sales Order List,New / Edit Purchase Order,Purchase Order List,New / Edit Invoice,New / Edit Bill,Total Screens Customized,Has all App Packs?,Eligible?,New / Edit Sales Receipt
coxtelserv,"Cox Telephone Service, Inc.",IT and computer related,QBDT,Active,12,67,8,429,"440,831",,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
mcbautobodyandcustomsltd,MCB Autobody and Customs Ltd,"Automotive parts, repair and maintenance",QBO,Active,5,,0,20,"2,615,452",,535.75,,0,0,0,0,0,0,0,0,0,0,Yes,0
pneumaticplus,GKC Enterprise Inc. dba PneumaticPlus.com,Wholesale and distribution services (MWD),QBDT,Active,5,79,12,28402,"6,389,178",,2480,pneumaticplus.com,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
bairespackusa2,BAIRESPACK USA,Manufacturing (MWD),QBDT,Active,3,,15,535,"565,896",,1954,bairespackusa.com,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
totalfeedsinc,"Total Feeds, Inc.",Manufacturing (MWD),QBDT,Active,7,89,4,2614,"15,997,357",2534.5,2349,totalfeeds.com,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
ingramoaks,Bodine-Scott Air Conditioning & Plumbing,Field Services,QBDT,Active,63,65,81,15735,"12,663,270",15031.25,33348,ingramoaks.com,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
nationalfiltersupply,National Filter Supply,Wholesale and distribution services (MWD),QBDT,Active,4,47,25,396,"4,150,627",1132.5,8081,natfiltsupply.com,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
industrialhorsepowerplus,"Industrial Horsepower Plus, Inc.",Field Services,QBDT,Active,19,63,19,16272,"10,129,300",1190,19039,johnsandyandassociates.com,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
baconmail,Bacon Products Corporation,Manufacturing (MWD),QBDT,Active,6,45,16,3538,"1,429,710",145,5769,baconproducts.com,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
georgiastage,GEORGIA STAGE,Manufacturing (MWD),QBDT,Active,6,81,44,13024,"12,428,349",1522.5,11503,georgiastage.com,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
cpffloorsllc,CPF Floors LLC,Wholesale and distribution services (MWD),QBDT,Active,26,44,16,893,"13,010,176",26245,36781.15,cpffloors.com,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
CTCITECH20,CTCI,IT and computer related,QBDT,Active,40,70,100,5155,"37,504,082",32831.25,114588,ctcitechnology.com,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
excelpkgsystems,"BPX Solutions, LLC",Wholesale and distribution services (MWD),QBDT,Active,6,90,5,715,"3,084,825",797.5,14070,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
