AccountName,Vertical,New / Edit Inventory Part,Items List,New / Edit Sales Order,Sales Order List,New / Edit Purchase Order,Purchase Order List,New / Edit Invoice,New / Edit Sales Receipt,New / Edit Bill
a1ahomewatchandconciergeservices,Home Watch,0,0,0,0,N/A,N/A,0,0,N/A
a1solarconsultingllc,Consulting and Professional Services,0,0,0,0,N/A,N/A,0,0,N/A
a2alogistics,Healthcare,0,0,0,0,N/A,N/A,0,0,N/A
a2zautomotivellc,"Automotive parts, repair and maintenance",0,0,0,0,N/A,N/A,0,0,N/A
a2zsupplies,,1,1,0,0,0,0,1,0,0
aallsiteelectric,Field Services,0,0,0,0,N/A,N/A,1,1,N/A
aandjanitorialservices,Other,0,0,0,0,N/A,N/A,0,0,N/A
aandjanitorialservicesrestore20250907,Other,0,0,0,0,N/A,N/A,0,0,N/A
aandtconsultancygroupinc,,0,0,0,0,N/A,N/A,0,0,N/A
aandvbusinesssolutions,IT and computer related,0,0,0,0,N/A,N/A,0,0,N/A
abacusbusinesssolutions,,0,0,0,0,N/A,N/A,0,0,N/A
abconlinemedia,,0,0,0,0,N/A,N/A,0,0,N/A
abcwindowsandmorellc,,0,0,0,0,N/A,N/A,1,0,N/A
abhasafinancialservices2,Wholesale and distribution services (MWD),0,0,0,0,N/A,N/A,0,0,N/A
abletreeserviceremoval,Arborist Services,0,0,0,0,N/A,N/A,0,0,N/A
aboveandbeyondtreeservicellc,General service based,0,0,0,0,N/A,N/A,1,0,N/A
absolutesurety,"Financial, Insurance or Legal Services",0,0,0,0,N/A,N/A,0,0,N/A
absoluteworkwear,Manufacturing (MWD),0,0,0,0,N/A,N/A,0,0,N/A
academiadelainmaculadaconcepcin,Other,0,0,0,0,N/A,N/A,0,0,N/A
academicandathleticdevelopment,Education or Tutoring,0,0,0,0,N/A,N/A,0,0,N/A
academicenrichmentmadscienceofdetroit,Education or Tutoring,0,0,0,0,N/A,N/A,0,0,N/A
accel,,0,0,0,0,0,0,0,0,0
accentcoatings2,Construction,0,0,0,0,N/A,N/A,0,0,N/A
accessprinterproductsinc,,0,0,0,0,N/A,N/A,0,0,N/A
accountabilityconsulting,Accounting and Bookkeeping,0,0,0,0,N/A,N/A,0,0,N/A
accountingbeyond,,0,0,0,0,N/A,N/A,0,0,N/A
accountmobility,Accounting and Bookkeeping,0,0,0,0,N/A,N/A,1,1,N/A
accountsinline,,0,0,0,0,0,0,0,0,0
accredited2,Other,0,0,0,0,N/A,N/A,0,0,N/A
acct22,General product based,1,0,0,0,N/A,N/A,1,0,N/A
accuratehomewatch2,Home Watch,0,0,0,0,N/A,N/A,0,0,N/A
acdcair,Field Services,0,0,0,0,N/A,N/A,0,0,N/A
acesand8scasinonights,Consulting and Professional Services,0,0,0,0,N/A,N/A,0,0,N/A
acesecurityakron,Other,0,0,0,0,0,0,0,0,0
