Account Name,Company Name in QB,Vertical,Active or Cancelled,Cancellation Reason,# Screens Customized,Users,Lead Score,Employees,Customers,Annual Sales,PS Amount to Date,SAAS Amount to Date,New / Edit Inventory Part,Items List,New / Edit Sales Order,Sales Order List,New / Edit Purchase Order,Purchase Order List,New / Edit Invoice,New / Edit Bill,Total Screens Customized,Has all App Packs?,Eligible?,New / Edit Sales Receipt
dylanwilliamscpa,"Park Models & Modulars, LLC",Manufacturing (MWD),Active,N/A,1,5,54,205,170,"5,346,120",,248,0,0,0,0,0,0,0,0,0,0,Yes,0
utilitypipe,,,Cancelled ,N/A,,,,,,,,,,,,,,,,,,,,
miminternationalinc,"MIM International, Inc.",Wholesale and distribution services (MWD),Active ,N/A,4,3,77,5,56,"1,158,910",,765,0,0,0,0,0,0,0,0,0,0,Yes,0
nuewal,NUEWAL Inc.,Construction,Active ,N/A,0,6,56,2,1095,"2,944,635",,2036,0,0,0,0,0,0,0,0,0,0,Yes,0
cimentartflorida,"CIMENTART FLORIDA, INC.",Wholesale and distribution services (MWD),Active,N/A,6,3,59,8,3280,"889,753",387.5,258,0,0,0,0,N/A,N/A,1,N/A,1,1,No,0
aqueoussolution,,,Cancelled ,N/A,,,,,,,,,,,,,,,,,,,,
mintdistributors,,,Cancelled ,N/A,,,,,,,,,,,,,,,,,,,,
ippowerhouse,IP Powerhouse,Wholesale and distribution services (MWD),Active ,N/A,10,1,50,0,152,"1,922,821",,1323,0,0,0,0,N/A,N/A,1,N/A,1,1,No,0
modalitygroup3,,,Cancelled ,N/A,,,,,,,,,,,,,,,,,,,,
smokyvalleyagservicesllc,,,Cancelled ,N/A,,,,,,,,,,,,,,,,,,,,
rms02,,,Cancelled ,N/A,,,,,,,,,,,,,,,,,,,,
weavertechnologies,,,Cancelled ,N/A,,,,,,,,,,,,,,,,,,,,
solshinehair,Solshine Hair,Retail,Active,N/A,16,4,59,4,39,"16,249",1007.5,686,0,0,1,0,N/A,N/A,1,N/A,2,1,No,0
a2zsupplies,A2Z Supplies LLC,,Active ,N/A,34,7,67,15,836,"7,250,417",,2576,1,1,0,0,0,0,1,0,3,0,No,0
cirruscycles2,,,Cancelled ,N/A,,,,,,,,,,,,,,,,,,,,
carolinalightinggroup,Carolina Lighting Group LLC,Wholesale and distribution services (MWD),Active,N/A,9,2,70,0,126,"1,102,906",465,936,0,0,1,0,1,0,1,0,3,0,No,0
mobiletechmfg,,,Cancelled ,N/A,,,,,,,,,,,,,,,,,,,,
simpleinc980,Simple Inc,,Active ,N/A,6,25,85,43,20808,"18,221,948",,51779,0,1,1,0,N/A,N/A,1,N/A,3,1,No,0
virginiaseedcompany,,,Cancelled ,N/A,,,,,,,,,,,,,,,,,,,,
parenthesisbrands,,,Cancelled ,N/A,,,,,,,,,,,,,,,,,,,,
cooksdoorsandmouldingsinc,Cooks Doors and Mouldings Inc,Retail,Active,N/A,46,4,39,1,415,"457,925",2371.5,7078,0,0,1,0,1,1,1,0,4,0,No,0
imaginationplayground,,,Cancelled ,N/A,,,,,,,,,,,,,,,,,,,,
hydrospraywashsystemsinc,HydroSpray Wash Systems Inc,Wholesale and distribution services (MWD),Active,N/A,12,5,63,8,648,"4,169,721",725,3848.4,0,1,1,0,1,0,1,0,4,0,No,0
cypressengine,"Cypress Engine Accessories, LLC",General,Active,N/A,40,17,66,23,1514,0,17639.25,19465.2,1,1,1,1,1,1,1,0,7,0,No,0
lancasterandassociatesinc2,"Lancaster & Associates, Inc.",,Active,N/A,33,1,43,28,1796,0,21075.75,23880.05,0,1,1,1,1,1,1,0,6,0,No,1
