Account Name,Company Name in QB,New / Edit Inventory Part,Items List,New / Edit Sales Order,Sales Order List,New / Edit Purchase Order,Purchase Order List,New / Edit Invoice,New / Edit Bill,Total Screens Customized,Has all App Packs?,Eligible?
crimsonimaging ✅ ,Crimson Imaging Supplies LLC,0,1,0,0,0,0,0,0,1,0,No
cardmonster (cancelled),Card Monster (Pty) Ltd,0,1,0,0,0,0,0,0,1,0,No
hendersonenterprises ✅ ,Henderson Enterprises,0,0,0,0,0,0,1,0,1,0,No
sitepieces2 🟡,Site Pieces,0,0,0,0,0,0,1,0,1,0,No
prosourcegroup ⚠️,Pro-Source Group,1,1,1,0,0,0,1,0,4,0,No
dtsdirect ⚠️,"DTS Direct, LLC",0,1,1,1,1,0,1,0,5,0,No
tppincrestore20250710 ⚠️,"TPP, Inc (entry 1)",0,0,1,0,1,0,1,1,4,0,No
progressivewestman372 ❌,Progressive Westman,1,1,0,0,0,0,1,0,3,0,No
southgateprocessequipmentinc ⚠️,"Southgate Process Equipment, Inc.",0,0,0,0,1,0,1,0,2,0,No
fullcirclesolutionsllc 🟡,Full Circle Solutions LLC,0,0,1,1,0,0,0,0,2,0,No
carolinalightinggroup ❌,Carolina Lighting Group LLC,0,0,1,0,1,0,1,0,3,0,No
hydrospraywashsystemsinc ✅ ,HydroSpray Wash Systems Inc,0,1,1,0,1,0,1,0,4,0,No
ensureaseal2 ❌,Ensure-A-Seal,0,0,1,0,1,0,0,0,2,0,No
area51sportsltd 🟡,Area 51 Sports,0,0,1,0,1,0,1,0,3,0,No
wearingwilliamsltd2 ❌,Wearing Williams Limited,1,1,1,1,1,1,1,1,8,0,No
flowmeasurementservices ❌,Flow Measurement Services,0,0,0,0,1,0,1,0,2,0,No
unicellsupply2  ⚠️,Unicell Janitorial Supplies,1,1,0,0,0,0,1,1,4,0,No
dolphinheatexchangerusa 🟡,DOLPHIN HEAT EXCHANGER USA Inc,0,1,1,1,0,0,1,0,4,0,No
metkonusainc 🟡,"Metkon USA, Inc.",0,1,1,0,1,1,1,0,5,0,No
aosolutions ✅ ,"Solutions Office Interiors, Inc.",0,0,0,0,0,0,0,0,0,0,Yes
gitchsportswearco1restore20250919 ❌,Gitch Sportswear (entry 1),0,0,1,1,1,1,1,1,6,0,No
