"	https://app.amplitude.com/analytics/method/chart/zcdsn4v4"
"	Items App Users by Vertical "

"	Uniques"
"	Page Loaded","	appName is ""Items"""

"	companyVertical","	2024-01-01","	2024-01-08","	2024-01-15","	2024-01-22","	2024-01-29","	2024-02-05","	2024-02-12","	2024-02-19","	2024-02-26","	2024-03-04","	2024-03-11","	2024-03-18","	2024-03-25","	2024-04-01","	2024-04-08","	2024-04-15","	2024-04-22","	2024-04-29","	2024-05-06","	2024-05-13","	2024-05-20","	2024-05-27","	2024-06-03","	2024-06-10","	2024-06-17","	2024-06-24","	2024-07-01","	2024-07-08","	2024-07-15","	2024-07-22","	2024-07-29","	2024-08-05","	2024-08-12","	2024-08-19","	2024-08-26","	2024-09-02","	2024-09-09","	2024-09-16","	2024-09-23","	2024-09-30","	2024-10-07","	2024-10-14","	2024-10-21","	2024-10-28","	2024-11-04","	2024-11-11","	2024-11-18","	2024-11-25","	2024-12-02","	2024-12-09","	2024-12-16","	2024-12-23","	2024-12-30"
"	Wholesale and distribution services (MWD)","166","194","191","202","221","197","182","189","195","201","195","216","215","196","193","177","203","187","190","179","187","183","190","198","181","191","159","192","179","176","190","174","197","204","181","178","182","195","182","186","176","191","187","179","167","189","183","159","186","191","190","104","143"
"	Manufacturing (MWD)","147","168","163","170","183","179","178","169","182","181","173","176","173","179","172","168","145","166","169","163","148","153","158","154","167","150","136","155","164","149","152","174","171","181","178","166","175","166","180","166","156","154","165","168","175","176","169","114","165","179","180","85","109"
"	(none)","115","126","147","153","140","145","121","130","135","129","131","141","139","145","126","146","133","126","136","143","157","132","138","150","135","126","110","127","129","126","128","141","131","139","131","129","141","142","140","142","139","142","160","156","150","153","165","121","169","149","157","97","121"
"	Field Services","57","77","76","70","71","73","78","81","71","85","70","81","84","72","78","81","73","63","67","73","74","71","71","67","64","64","59","73","66","61","75","62","71","70","71","74","81","65","75","82","76","84","83","76","74","88","78","61","72","72","71","31","50"
"	Other","55","55","76","58","70","75","68","69","85","55","60","62","68","67","65","76","70","59","59","70","71","75","73","62","61","76","61","57","65","72","71","77","82","63","71","72","84","79","83","80","74","62","72","68","66","66","80","59","68","74","76","39","63"
"	Retail","57","72","63","74","69","68","63","64","68","71","67","63","70","57","61","58","59","53","47","56","59","51","54","45","54","59","57","58","63","63","59","62","60","56","65","56","70","53","71","61","49","58","57","51","66","69","62","47","71","59","57","38","40"
