"	https://app.amplitude.com/analytics/method/chart/4xfiqycb"
"	Opportunities: What vertical creates opportunities the most? "

"	Totals"
"	Opportunity Created"

"	Custom Label","	companyVertical","	2024-01-01","	2024-01-08","	2024-01-15","	2024-01-22","	2024-01-29","	2024-02-05","	2024-02-12","	2024-02-19","	2024-02-26","	2024-03-04","	2024-03-11","	2024-03-18","	2024-03-25","	2024-04-01","	2024-04-08","	2024-04-15","	2024-04-22","	2024-04-29","	2024-05-06","	2024-05-13","	2024-05-20","	2024-05-27","	2024-06-03","	2024-06-10","	2024-06-17","	2024-06-24","	2024-07-01","	2024-07-08","	2024-07-15","	2024-07-22","	2024-07-29","	2024-08-05","	2024-08-12","	2024-08-19","	2024-08-26","	2024-09-02","	2024-09-09","	2024-09-16","	2024-09-23","	2024-09-30","	2024-10-07","	2024-10-14","	2024-10-21","	2024-10-28","	2024-11-04","	2024-11-11","	2024-11-18","	2024-11-25","	2024-12-02","	2024-12-09","	2024-12-16","	2024-12-23","	2024-12-30"
"	","	Manufacturing (MWD)","370","375","399","440","443","512","673","493","522","562","674","667","567","607","644","751","569","503","527","578","466","475","546","606","554","466","479","563","524","459","569","536","498","537","500","455","491","522","530","561","525","523","492","584","501","602","543","264","477","491","447","173","320"
"	","	Construction","278","393","372","461","650","434","496","536","501","511","501","546","515","455","519","500","552","485","522","555","501","534","502","514","493","506","402","434","421","504","375","491","441","578","493","473","514","525","402","576","441","430","475","490","430","470","531","426","480","539","392","253","305"
"	","	(none)","327","368","345","330","368","379","326","264","361","439","366","377","254","267","341","357","321","396","305","435","376","317","435","402","358","454","389","561","593","563","643","551","535","481","573","464","343","397","326","353","405","451","432","425","410","448","420","301","383","436","426","151","210"
"	Wholesale and distribution services (MWD)","	Wholesale and distribution services (MWD)","228","280","317","280","435","340","308","333","346","360","335","354","330","339","340","403","340","381","327","380","278","321","390","348","302","321","243","371","327","353","332","275","392","357","355","276","343","353","353","465","341","351","333","375","330","300","328","209","323","450","337","99","167"
"	","	Other","280","296","272","300","333","298","290","267","288","280","291","258","270","254","278","247","216","230","268","240","256","227","275","237","212","297","156","228","220","221","241","195","201","222","216","166","208","213","228","208","198","187","231","189","221","199","267","156","225","217","319","120","171"
"	","	Field Services","142","218","206","214","173","254","294","252","281","280","255","290","204","212","244","272","186","248","255","233","247","202","235","191","219","264","237","307","264","209","233","169","192","291","210","155","200","194","188","162","197","207","202","193","175","209","204","109","162","164","197","94","152"
"	","	Retail","136","388","177","167","174","176","243","223","323","252","226","154","128","170","175","148","178","223","186","217","245","145","150","170","154","199","113","229","189","165","164","165","205","139","139","151","200","221","124","154","110","171","153","117","194","204","183","74","306","120","120","34","97"
"	","	Consulting and Professional Services","88","153","139","154","259","235","145","152","156","120","119","129","118","172","169","179","181","142","159","127","139","129","154","159","149","154","103","180","140","99","125","119","118","94","115","57","103","124","102","97","126","102","115","95","102","105","112","90","180","97","104","26","45"
"	","	General product based","35","45","45","180","133","97","46","65","116","64","113","161","264","104","92","112","127","92","101","120","83","121","130","174","126","125","103","172","122","143","95","101","96","95","93","71","110","71","78","81","80","87","51","43","75","57","55","26","101","59","66","16","36"
"	","	Accounting and Bookkeeping","26","38","42","120","67","112","149","154","136","144","89","122","104","85","71","72","48","56","39","55","39","39","45","52","47","30","45","192","49","37","47","24","55","50","66","46","35","43","31","22","19","22","25","47","181","120","155","112","302","119","43","39","68"
"	","	Education or Tutoring","60","66","65","72","103","68","80","53","79","67","71","146","95","81","66","162","96","55","43","48","32","78","52","73","71","156","48","55","82","46","50","77","39","43","54","38","82","41","53","46","67","49","130","133","27","47","39","142","41","52","66","34","26"
"	","	Advertising, marketing or PR","29","34","47","48","41","46","44","37","38","41","34","63","40","43","42","38","42","54","48","45","49","30","108","79","114","98","52","104","104","105","99","83","49","81","62","50","51","56","65","67","54","60","38","28","38","50","45","20","38","36","93","8","18"
"	","	General service based","13","23","20","37","19","23","21","46","35","29","24","25","48","34","46","22","48","38","45","172","206","270","58","65","65","76","51","40","29","38","50","21","44","48","31","35","41","31","23","63","28","37","24","30","69","38","24","9","80","68","39","6","9"
