"	https://app.amplitude.com/analytics/method/chart/uzgq571f"
"	Purchase Order: What vertical creates POs the most? "

"	Totals"
"	Purchaseorder Created"

"	companyVertical","	2024-01-01","	2024-01-02","	2024-01-03","	2024-01-04","	2024-01-05","	2024-01-06","	2024-01-07","	2024-01-08","	2024-01-09","	2024-01-10","	2024-01-11","	2024-01-12","	2024-01-13","	2024-01-14","	2024-01-15","	2024-01-16","	2024-01-17","	2024-01-18","	2024-01-19","	2024-01-20","	2024-01-21","	2024-01-22","	2024-01-23","	2024-01-24","	2024-01-25","	2024-01-26","	2024-01-27","	2024-01-28","	2024-01-29","	2024-01-30","	2024-01-31","	2024-02-01","	2024-02-02","	2024-02-03","	2024-02-04","	2024-02-05","	2024-02-06","	2024-02-07","	2024-02-08","	2024-02-09","	2024-02-10","	2024-02-11","	2024-02-12","	2024-02-13","	2024-02-14","	2024-02-15","	2024-02-16","	2024-02-17","	2024-02-18","	2024-02-19","	2024-02-20","	2024-02-21","	2024-02-22","	2024-02-23","	2024-02-24","	2024-02-25","	2024-02-26","	2024-02-27","	2024-02-28","	2024-02-29","	2024-03-01","	2024-03-02","	2024-03-03","	2024-03-04","	2024-03-05","	2024-03-06","	2024-03-07","	2024-03-08","	2024-03-09","	2024-03-10","	2024-03-11","	2024-03-12","	2024-03-13","	2024-03-14","	2024-03-15","	2024-03-16","	2024-03-17","	2024-03-18","	2024-03-19","	2024-03-20","	2024-03-21","	2024-03-22","	2024-03-23","	2024-03-24","	2024-03-25","	2024-03-26","	2024-03-27","	2024-03-28","	2024-03-29","	2024-03-30","	2024-03-31","	2024-04-01","	2024-04-02","	2024-04-03","	2024-04-04","	2024-04-05","	2024-04-06","	2024-04-07","	2024-04-08","	2024-04-09","	2024-04-10","	2024-04-11","	2024-04-12","	2024-04-13","	2024-04-14","	2024-04-15","	2024-04-16","	2024-04-17","	2024-04-18","	2024-04-19","	2024-04-20","	2024-04-21","	2024-04-22","	2024-04-23","	2024-04-24","	2024-04-25","	2024-04-26","	2024-04-27","	2024-04-28","	2024-04-29","	2024-04-30","	2024-05-01","	2024-05-02","	2024-05-03","	2024-05-04","	2024-05-05","	2024-05-06","	2024-05-07","	2024-05-08","	2024-05-09","	2024-05-10","	2024-05-11","	2024-05-12","	2024-05-13","	2024-05-14","	2024-05-15","	2024-05-16","	2024-05-17","	2024-05-18","	2024-05-19","	2024-05-20","	2024-05-21","	2024-05-22","	2024-05-23","	2024-05-24","	2024-05-25","	2024-05-26","	2024-05-27","	2024-05-28","	2024-05-29","	2024-05-30","	2024-05-31","	2024-06-01","	2024-06-02","	2024-06-03","	2024-06-04","	2024-06-05","	2024-06-06","	2024-06-07","	2024-06-08","	2024-06-09","	2024-06-10","	2024-06-11","	2024-06-12","	2024-06-13","	2024-06-14","	2024-06-15","	2024-06-16","	2024-06-17","	2024-06-18","	2024-06-19","	2024-06-20","	2024-06-21","	2024-06-22","	2024-06-23","	2024-06-24","	2024-06-25","	2024-06-26","	2024-06-27","	2024-06-28","	2024-06-29","	2024-06-30","	2024-07-01","	2024-07-02","	2024-07-03","	2024-07-04","	2024-07-05","	2024-07-06","	2024-07-07","	2024-07-08","	2024-07-09","	2024-07-10","	2024-07-11","	2024-07-12","	2024-07-13","	2024-07-14","	2024-07-15","	2024-07-16","	2024-07-17","	2024-07-18","	2024-07-19","	2024-07-20","	2024-07-21","	2024-07-22","	2024-07-23","	2024-07-24","	2024-07-25","	2024-07-26","	2024-07-27","	2024-07-28","	2024-07-29","	2024-07-30","	2024-07-31","	2024-08-01","	2024-08-02","	2024-08-03","	2024-08-04","	2024-08-05","	2024-08-06","	2024-08-07","	2024-08-08","	2024-08-09","	2024-08-10","	2024-08-11","	2024-08-12","	2024-08-13","	2024-08-14","	2024-08-15","	2024-08-16","	2024-08-17","	2024-08-18","	2024-08-19","	2024-08-20","	2024-08-21","	2024-08-22","	2024-08-23","	2024-08-24","	2024-08-25","	2024-08-26","	2024-08-27","	2024-08-28","	2024-08-29","	2024-08-30","	2024-08-31","	2024-09-01","	2024-09-02","	2024-09-03","	2024-09-04","	2024-09-05","	2024-09-06","	2024-09-07","	2024-09-08","	2024-09-09","	2024-09-10","	2024-09-11","	2024-09-12","	2024-09-13","	2024-09-14","	2024-09-15","	2024-09-16","	2024-09-17","	2024-09-18","	2024-09-19","	2024-09-20","	2024-09-21","	2024-09-22","	2024-09-23","	2024-09-24","	2024-09-25","	2024-09-26","	2024-09-27","	2024-09-28","	2024-09-29","	2024-09-30","	2024-10-01","	2024-10-02","	2024-10-03","	2024-10-04","	2024-10-05","	2024-10-06","	2024-10-07","	2024-10-08","	2024-10-09","	2024-10-10","	2024-10-11","	2024-10-12","	2024-10-13","	2024-10-14","	2024-10-15","	2024-10-16","	2024-10-17","	2024-10-18","	2024-10-19","	2024-10-20","	2024-10-21","	2024-10-22","	2024-10-23","	2024-10-24","	2024-10-25","	2024-10-26","	2024-10-27","	2024-10-28","	2024-10-29","	2024-10-30","	2024-10-31","	2024-11-01","	2024-11-02","	2024-11-03","	2024-11-04","	2024-11-05","	2024-11-06","	2024-11-07","	2024-11-08","	2024-11-09","	2024-11-10","	2024-11-11","	2024-11-12","	2024-11-13","	2024-11-14","	2024-11-15","	2024-11-16","	2024-11-17","	2024-11-18","	2024-11-19","	2024-11-20","	2024-11-21","	2024-11-22","	2024-11-23","	2024-11-24","	2024-11-25","	2024-11-26","	2024-11-27","	2024-11-28","	2024-11-29","	2024-11-30","	2024-12-01","	2024-12-02","	2024-12-03","	2024-12-04","	2024-12-05","	2024-12-06","	2024-12-07","	2024-12-08","	2024-12-09","	2024-12-10","	2024-12-11","	2024-12-12","	2024-12-13","	2024-12-14","	2024-12-15","	2024-12-16","	2024-12-17","	2024-12-18","	2024-12-19","	2024-12-20","	2024-12-21","	2024-12-22","	2024-12-23","	2024-12-24","	2024-12-25","	2024-12-26","	2024-12-27","	2024-12-28","	2024-12-29","	2024-12-30","	2024-12-31"
"	Travel and transportation","0","42","59","46","55","0","0","74","48","36","35","60","2","0","61","52","50","57","61","1","0","74","49","45","85","75","15","0","74","69","74","73","60","8","0","76","52","62","75","85","6","0","71","75","53","56","48","9","0","56","48","61","64","52","0","0","64","57","48","82","47","1","0","75","51","55","66","48","8","0","81","66","44","75","58","1","0","102","53","69","47","70","8","0","64","57","55","49","81","2","0","72","70","74","52","52","0","0","105","56","61","55","45","0","0","77","91","64","108","75","0","0","85","80","78","77","106","3","0","67","73","75","74","57","0","0","76","91","67","84","93","1","0","107","116","90","77","98","4","0","83","88","72","71","71","0","1","27","76","79","104","61","0","1","78","96","50","83","94","0","0","108","80","78","75","119","1","0","89","70","112","66","111","1","0","109","105","94","101","109","1","0","112","85","62","0","62","0","0","99","83","78","93","106","0","0","100","71","65","100","106","0","0","115","88","84","98","69","0","0","114","111","122","69","56","1","0","123","95","84","48","92","0","0","125","81","78","80","75","0","1","125","85","73","91","88","0","1","94","88","98","88","106","0","0","4","96","81","85","113","0","1","87","109","68","79","98","1","0","109","84","84","84","77","0","0","107","85","92","86","65","0","1","90","88","92","68","99","0","0","94","90","77","81","86","0","1","108","76","94","61","71","0","0","114","79","86","71","67","0","0","88","114","70","63","79","0","0","127","83","81","68","82","0","0","105","66","71","77","54","1","0","80","82","97","70","61","1","1","89","72","53","0","32","0","0","74","62","40","71","75","2","0","67","71","58","83","63","0","1","54","73","84","45","85","2","0","61","16","0","53","46","0","0","60","56"
"	Wholesale and distribution services (MWD)","0","69","69","65","48","0","4","71","52","73","54","62","1","1","47","49","62","66","54","0","0","52","75","55","68","65","1","5","64","69","68","57","61","0","3","90","77","89","51","50","0","0","58","61","64","71","64","3","3","50","64","66","44","74","3","0","68","87","75","90","58","1","3","79","46","79","85","69","5","1","73","83","69","83","62","0","3","81","81","80","72","51","1","2","81","82","70","59","36","0","0","73","73","67","94","80","3","1","89","83","83","64","62","0","1","69","83","98","84","77","4","0","94","88","75","82","51","0","0","72","81","82","78","80","3","0","77","98","74","76","46","3","7","82","97","79","70","53","1","0","95","73","89","83","53","0","1","18","78","79","81","56","8","0","78","67","62","115","71","1","3","68","88","66","80","56","3","5","97","89","70","72","62","4","0","88","72","79","103","62","8","1","78","70","72","14","19","3","1","91","80","72","77","91","9","8","107","61","79","95","76","1","4","75","87","55","91","50","2","1","68","66","74","71","73","3","0","85","98","73","81","71","5","2","83","77","66","84","61","5","2","67","79","77","74","68","0","2","91","74","74","67","57","1","3","6","58","95","97","51","2","1","111","83","59","66","69","2","31","108","107","72","79","62","3","0","66","94","78","74","69","11","1","70","77","85","65","67","3","1","80","81","92","61","86","4","0","64","103","118","95","71","1","2","72","90","83","92","48","4","2","87","94","127","116","71","4","7","95","80","83","95","86","0","3","82","84","95","86","60","7","4","100","92","78","100","65","16","0","94","71","47","18","20","3","2","83","70","69","58","47","4","2","46","81","69","65","59","2","3","71","65","84","75","51","2","0","25","11","1","19","52","8","2","32","26"
"	(none)","1","115","57","140","103","9","1","104","113","98","100","78","0","2","66","69","79","91","73","1","0","61","109","91","99","99","0","4","110","86","68","74","86","2","0","95","99","80","101","92","0","1","96","87","90","83","79","1","3","71","103","101","98","85","1","17","92","148","68","106","75","0","1","94","56","76","69","54","0","3","118","92","82","44","71","1","0","94","46","51","43","43","1","0","63","35","51","50","30","2","0","66","40","35","32","41","0","0","45","68","53","57","46","1","0","72","49","61","74","48","3","0","60","55","45","47","46","13","2","49","49","41","50","36","0","1","79","86","44","52","65","6","1","80","45","72","47","60","2","0","45","74","49","59","39","2","1","5","58","46","51","55","1","1","43","45","45","49","36","0","0","54","64","58","62","46","1","2","52","60","40","62","29","1","0","49","64","62","54","36","0","0","32","39","51","5","21","0","0","78","61","55","41","46","1","3","77","54","56","42","49","2","0","53","62","63","57","65","0","0","71","52","61","45","70","0","1","45","40","66","57","48","5","0","63","51","72","55","59","6","5","62","73","59","91","51","1","1","63","72","38","62","36","3","1","1","64","80","76","81","21","0","92","75","79","110","74","1","0","71","78","94","79","75","2","2","81","66","64","49","53","0","0","68","56","72","67","65","1","0","55","67","82","85","66","0","0","92","69","69","92","68","1","4","103","72","86","77","64","0","2","112","54","63","66","69","0","1","58","82","76","70","65","0","5","68","85","69","84","65","2","1","79","65","56","67","41","0","3","83","72","44","10","20","1","4","44","94","82","53","39","3","4","80","62","64","71","64","1","1","67","77","65","57","44","1","14","46","8","0","44","32","0","0","48","11"
